Agent;Motor;Àncora;Conflicte;Aspecte
Una parella;Vol rehabilitar el seu nom;Un bicho (bestiola);Però ha de passar humiliació (o ser humil);Simple
Una jardinera;Vol retrobar-se amb la seva família;Un dispositiu;Però no serà capaç d'alguna cosa que pugui fer;Bella
Una acadèmica;Vol deixar d'oblidar;Una droga;Però el culparan a ell (o a ella);Infinita
Una periodista;Vol protegir;Un missatge;Però perdrà el respecte d'algú a qui estima;Distant
Una magnat;Vol sentir la bellesa que hi ha en;Un testimoni;Però ha de trair un amic;Vibrant
Una infeliç;Vol fer justícia;Un codi;Però haurà de rebutjar un amic;Innocent
Una exocultista;Vol oblidar;Un laberint;Però significarà que el malvat guanyi al final;Innovadora
Una substituta;Vol salvar una de;Un secret;Però la ferida que arrossega dels p...;Duríssima
Una bibliotecària;Vol assassinar un amor;Un accident;Però perdrà la feina de la seva vida;Cruel
Una somiadora;Vol recuperar la reputació de;Els satèl·lits;Però es convertirà en l'esquer;Esgarrifosa
Una viatgera;Vol mantenir l'antiguitat de;Un mercat;Però ha de trair el seu líder (o mestre);Alegre
Una ballarina;Vol oblidar les responsabilitats;Un funeral;Però ningú serà capaç de veure les seves ferides;Traumàtica
Una exploradora;Vol robar una fortuna;Una esperança;Però la seva relació / deute amb algú no acabarà;Bella
Una atleta;Vol tornar la vida a un mort;Una carta;Però no hi haurà un lloc on escapar;Leal
Una venjadora;Vol desenvolupar el misteri de;Una trampa;Però ha de creuar (límits) amb un vell enemic;Valenta
Una lladre;Vol trobar esperança en / per a;Un rellotge;Però haurà d'incomplir un sagrat deure;Freda
Una cap;Vol aferrar-se a;Una porta;Però venjances, o moren laments religiosos;Càlida
Una bèstia;Vol alliberar el món de;Un record;Però ha de fer alguna cosa que va jurar que mai faria;Bel·ligerant
Una treballadora;Vol escapar;El teu dit;Però significarà mentir a la seva família;Curiosa
Una germandat;Vol tenir el control de;Un medicament;Però quan la veritat entri (es revelarà) farà mal;Determinada
Un estudiant;Vol esborrar la memòria de;Un jardí;Però haurà d'oblidar els seus principis;Venjativa
Un monstre;Vol venjar-se de;Un instrument;Però li costarà la seva reputació;Ondulant
Un anarquista;Vol ser la (o el) millor;Un escut;Però ha d'anar a la guerra contra la seva pròpia gent;Femenina
Una oficinista;Vol arribar a un lloc que és plata;Un poema;Però haurà de sortir a la llum (exposar-se);Fantasma
Una comedianta;Vol recuperar el poder de;Un cadenat;Però el seu patiment no li donarà la pau;Antiga
Una màrtir;Vol trobar una manera de matar un déu;Les restes;Però serà per sempre una mentida;Irresistible
Una alienígena;Vol derrotar a;Un mapa;Però ha d'escollir entre una i altra cosa;Honesta
Una albina;Vol salvar el món;Una làpida;Però haurà d'oblidar alguna cosa estimada;Callada
Una inventora;Vol deixar una marca al món;Un llibre;Però ha d'abandonar alguna cosa (o algú) que estima;Petita
Una ovella negra;Vol complir una aposta;Una màscara;Però el seu nom desapareixerà dels registres;Indestructible
Una mercenària;Vol guanyar-se la lleialtat de;Una firma;Però significarà oblidar el seu orgull;Urbana
Una víctima;Vol recuperar;Una llavor;Però ha de fer alguna cosa de la que no es podrà burlar;Generosa
Una pacifista;Vol revelar els perills de;Un temple;Però li costarà la seva salut mental;Esgarrifosa
Una companya;Vol descobrir un favor a;Un naixement;Però si acaba, la terra no podrà viure;Malhumorada
Una androide;Vol matar (o arreglar);L'espasa;Però la seguretat posarà en escac els seus...;Reservada
Una tirana;Vol obtenir la llibertat;Un mural;Però ha de fer alguna cosa que trenqui el seu...;Benevolent
Una virtuosa;Vol ajudar a solucionar el problema de;La gent;Però una profecia diu que negarà;Santa
Una científica;Vol acabar amb l'obligació familiar de;Una bomba;Però significarà que el seu major rival tenia raó;Històrica
Una deessa;Vol robar;Una gravació;Però cridarà l'atenció d'una amenaça divina;Compleja
Una fanàtica;Vol establir un nou ordre;La purga;Però ha d'aprendre a cedir el control;Gloriosa
Una jugadora;Vol estar a l'altura;La resposta;Però si té raó significarà que el mal existeix;Voluble
Una modista;Vol enamorar;Un propòsit;Però significarà que algú bo serà castigat;Famosa
Un intel·lectual;Vol obeir;Una muntanya;Però ha de posar fi als prejudicis;Inesperada
Una impostora;Vol veure el món;Una escultura;Però li costarà la vida;Constipada
Una arqueòloga;Vol conquerir un amor;Una obra d'art;Però sempre serà alguna cosa pura;Sorprenent
Una celebritat;Vol salvar un ésser estimat;Un tresor;Però descobrirà un secret que no volia;Incomprendida
Una comerciant;Vol exposar una peça que condemna a;Un volum de...;Però portarà dolor i cortesia a la vida de tots;Amable
Una rebel;Vol purificar;Una cançó (o ball);Però haurà de reparar el dany causat;Vençuda
Una pintora;Vol imposar justícia;Un equip de treball;Però es convertirà en allò del que se'n reia;Imparable
Una agent;Vol unir-se a un pensament;Un portal / una dimensió;;Petita
Una xef;;Un tros de tallar;;Rencorosa
Una líder;;Un vestit de núvia;;Dues cares
Una mecànica;;Una estació de...;;Incomprendida
Una música;;Un hospital de...;;Adornada
Una professora;;Un concili de...;;Controlada
Una caça-recompenses;;Una palanca antiga;;Obsessiva
Un dimoni;;Un arxiu (il·legal);;Cauteritzada
Una espia;;Una butxaca de...;;Espantada
Una guardiana;;Una nau espacial;;Jove
Una figura;;Una recepta;;Immortal
Una marginada;;Un ull que (ho veu tot);;Estúpida
Una caçadora de...;;Una església / un altar;;Perillosa
Una sirena;;Un follet / vampir;;Impulsiva
Una experta en...;;Un vici / mal costum;;Humida
Una reina del carnaval;;Un patró de bosc;;Sagnant
Una nòmada;;Un vestit / una disfressa;;Atrapada
Una lloba solitària;;Un crim sense resoldre;;Sancionada
Una inversora;;Una ciutat fantasma;;Desolada
Un àngel caigut;;Un aniversari;;Bruta
Una addicta;;Un devorador de m...;;Tancada
Una guerrera;;Una veu que prediu;;Desordenada
Una detectiu;;Un govern (local);;Carinyosa
Una navegant;;Una vena d'ulls;;Justiciera
Una gata de carrer;;Un profeta de la...;;Cuidadosa
Una forastera;;Una promesa de...;;Sagrada
;;Un far / una llum;;Desesperada
;;Un món (paral·lel);;Suau
;;Una maleta amb alguna cosa;;Nòmada
;;Un objecte fora de lloc;;Salvatge
;;;;Ordinària
;;;;Desbocada
;;;;Poderosa
;;;;Gairebé seca
;;;;Privada
;;;;Decorativa
;;;;Tòxica
;;;;Revoltosa


